Row,Reason,Content
5472,"型の不一致: 期待=numeric, 実際=string, 値=16,28","Apr  7, 2025 15:01:26.022461000 UTC,130.158.68.21,3.101.240.151,,13351101077.ap.cc.tsukuba.ac.jp,13351101077.ap.cc.tsukuba.ac.jp,16,28"
9073,"型の不一致: 期待=numeric, 実際=string, 値=15,16,1,28","Apr  7, 2025 15:02:38.679605000 UTC,130.158.71.54,3.101.240.62,,astor048.tulips.tsukuba.ac.jp,astor048.tulips.tsukuba.ac.jp,astor048.tulips.tsukuba.ac.jp,astor048.tulips.tsukuba.ac.jp,15,16,1,28"
11265,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:03:26.050993000 UTC,130.158.68.21,3.101.240.60,,libgate4.tulips.tsukuba.ac.jp,libgate4.tulips.tsukuba.ac.jp,1,28"
38416,"型の不一致: 期待=numeric, 実際=string, 値=16,28","Apr  7, 2025 15:12:40.559461000 UTC,130.158.71.54,3.101.240.60,,vod1.ecloud.tsukuba.ac.jp,vod1.ecloud.tsukuba.ac.jp,16,28"
50990,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:16:47.953011000 UTC,130.158.71.54,3.101.216.124,,tokkatsu-eduport-education.whowp03.cc.tsukuba.ac.jp,tokkatsu-eduport-education.whowp03.cc.tsukuba.ac.jp,1,28"
66585,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:22:22.322010000 UTC,130.158.68.21,3.101.230.249,,13351087121.ap.cc.tsukuba.ac.jp,13351087121.ap.cc.tsukuba.ac.jp,1,28"
82227,"型の不一致: 期待=numeric, 実際=string, 値=16,1,28","Apr  7, 2025 15:27:58.831184000 UTC,130.158.68.21,3.101.240.189,,sp3130.taiiku.tsukuba.ac.jp,sp3130.taiiku.tsukuba.ac.jp,sp3130.taiiku.tsukuba.ac.jp,16,1,28"
101401,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:34:57.039191000 UTC,130.158.71.54,3.101.240.189,,13351192194.guest.cc.tsukuba.ac.jp,13351192194.guest.cc.tsukuba.ac.jp,1,28"
123383,"型の不一致: 期待=numeric, 実際=string, 値=16,1","Apr  7, 2025 15:43:22.594027000 UTC,130.158.68.21,3.101.239.76,,13351073062.ap.cc.tsukuba.ac.jp,13351073062.ap.cc.tsukuba.ac.jp,16,1"
130924,"型の不一致: 期待=numeric, 実際=string, 値=16,1,28","Apr  7, 2025 15:46:02.606050000 UTC,130.158.71.54,3.101.230.249,,13351092006.ap.cc.tsukuba.ac.jp,13351092006.ap.cc.tsukuba.ac.jp,13351092006.ap.cc.tsukuba.ac.jp,16,1,28"
141931,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:49:58.446090000 UTC,130.158.68.21,3.101.240.62,,13351117207.ap.cc.tsukuba.ac.jp,13351117207.ap.cc.tsukuba.ac.jp,1,28"
143708,"型の不一致: 期待=numeric, 実際=string, 値=16,1","Apr  7, 2025 15:50:30.588989000 UTC,130.158.71.54,3.101.216.124,,13351087123.ap.cc.tsukuba.ac.jp,13351087123.ap.cc.tsukuba.ac.jp,16,1"
149129,"型の不一致: 期待=numeric, 実際=string, 値=16,1,28","Apr  7, 2025 15:52:29.838573000 UTC,130.158.71.54,3.101.240.62,,dhcp9084.taiiku.tsukuba.ac.jp,dhcp9084.taiiku.tsukuba.ac.jp,dhcp9084.taiiku.tsukuba.ac.jp,16,1,28"
149269,"型の不一致: 期待=numeric, 実際=string, 値=16,1,28","Apr  7, 2025 15:52:32.652379000 UTC,130.158.71.54,3.101.240.152,,13351195162.guest.cc.tsukuba.ac.jp,13351195162.guest.cc.tsukuba.ac.jp,13351195162.guest.cc.tsukuba.ac.jp,16,1,28"
156803,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:55:20.069593000 UTC,130.158.68.21,3.101.230.249,,sp8036.taiiku.tsukuba.ac.jp,sp8036.taiiku.tsukuba.ac.jp,1,28"
167702,"型の不一致: 期待=numeric, 実際=string, 値=1,28","Apr  7, 2025 15:59:40.817561000 UTC,130.158.71.54,3.101.239.71,,13351079207.ap.cc.tsukuba.ac.jp,13351079207.ap.cc.tsukuba.ac.jp,1,28"
