day,domain,dnsmagnitude
01,cc,8.800653
01,sec,7.681022
01,www,7.370326
01,account,7.328127
01,u,7.286487
01,manaba,7.059704
01,twins,7.036744
01,utos,6.848429
01,un,6.711976
01,fair,6.475045
01,tulips,6.287511
01,trios,5.980786
01,cs,5.969005
01,ecloud,5.869753
01,kdb,5.701055
01,md,5.443929
01,pas,5.390940
01,person,5.222048
01,slis,5.197907
01,taiiku,5.197907
01,human,5.113244
01,sie,5.095474
01,sk,5.077402
01,ccs,5.021274
01,iit,4.773711
01,chem,4.749199
01,ims,4.631340
01,ap-graduate,4.617403
01,anzenkanri,4.529721
01,esys,4.529721
01,geijutsu,4.498815
01,kz,4.498815
01,hosp,4.417386
01,otsuka,4.400327
01,risk,4.400327
01,s,4.365366
01,stb,4.347447
01,coins,4.233102
01,bk,4.192090
01,sapec,4.082075
01,biol,4.058641
01,tara,3.985082
01,wpi-iiis,3.985082
01,informatics,3.985082
01,geoenv,3.959389
01,oii,3.933062
01,ied,3.878373
01,sanrenhonbu,3.878373
01,lawschool,3.790691
01,life,3.790691
01,cegloc,3.759785
01,imis,3.759785
01,t-pirc,3.759785
01,ph,3.695147
01,prc,3.695147
01,gsbs,3.695147
01,klis,3.552777
01,px,3.514002
01,shimoda,3.514002
01,hokekan,3.473764
01,math,3.473764
01,ac,3.473764
01,education,3.431947
01,mast,3.431947
01,alumni,3.388423
01,eme,3.388423
01,coi-sec,3.343046
01,hass,3.343046
01,envr,3.295652
01,tsa,3.295652
01,diversity,3.139344
01,kokusai,3.139344
01,tech,3.139344
01,edu,3.020756
01,jinsha,3.020756
01,oyoriko,3.020756
01,chs,2.956118
01,mountain-studies,2.956118
01,kansei,2.956118
01,bres,2.956118
01,pmrc,2.887307
01,tac,2.887307
01,air,2.887307
01,emp,2.813748
01,nourin,2.813748
01,dac,2.813748
01,kyoikusuishin,2.734734
01,dpipe,2.649393
01,phd-humanics,2.649393
01,geol,2.649393
01,heritage,2.649393
01,chemistry,2.556622
01,histanth,2.556622
01,kurihama,2.556622
01,msc,2.556622
01,high-s,2.556622
01,tessa,2.556622
01,global,2.455003
01,logos,2.455003
01,nsfb,2.455003
01,osi,2.455003
01,modernlc,2.455003
01,elementary-s,2.342668
01,kiri-s,2.342668
01,otsuka-s,2.342668
01,sse,2.342668
01,zdk,2.342668
01,hcs,2.342668
01,press,2.342668
01,jinbun,2.217088
01,neurosci,2.217088
01,scs,2.217088
01,t-act,2.217088
01,ilc,2.217088
01,gene,2.217088
01,atmnb,2.217088
01,hcph,2.217088
01,ccr,2.074718
01,deaf-s,2.074718
01,inf,2.074718
01,japanese,2.074718
01,ocw,2.074718
01,is,2.074718
01,ronbun-juri,2.074718
01,lingua,2.074718
01,sugadaira,2.074718
01,are,1.910364
01,projects,1.910364
01,komaba-s,1.910364
01,nc-bsys,1.910364
01,emc,1.715973
01,hibun,1.715973
01,mics,1.715973
01,physics,1.715973
01,sakado-s,1.715973
01,soc-int,1.715973
01,earth,1.715973
01,tlsi,1.715973
01,ut-jinzai-bank,1.715973
01,archives,1.478059
01,centers,1.478059
01,f-mirai,1.478059
01,intersc,1.478059
01,tems,1.478059
01,cryo,1.478059
01,kkss,1.478059
01,gip,1.478059
01,butsuri,1.171334
01,criced,1.171334
01,gfest,1.171334
01,oiso,1.171334
01,opop,1.171334
01,shakai,1.171334
01,skip,1.171334
01,souki,1.171334
01,suiri,1.171334
01,kou-c,1.171334
01,riryou,1.171334
01,anpi,1.171334
01,athletics,1.171334
01,bpgi,1.171334
01,tgsw,1.171334
01,tomonaga,1.171334
01,art,1.171334
01,icrhs,0.739029
01,ipp,0.739029
01,sports,0.739029
01,tias,0.739029
01,geo,0.739029
01,humcul,0.739029
01,hbp,0.739029
01,koudai,0.739029
01,scpj,0.739029
01,kc,0.739029
01,radd,0.739029
01,13,0.000000
01,arena,0.000000
01,cybernics,0.000000
01,materials,0.000000
01,namagaku,0.000000
01,opera,0.000000
01,rdcpm,0.000000
01,qils,0.000000
01,rcdh,0.000000
01,conservation,0.000000
01,flang,0.000000
01,191,0.000000
01,244,0.000000
01,geosci,0.000000
01,trems,0.000000
01,cj,0.000000
01,sleepymouse,0.000000
01,engsci,0.000000
01,japan,0.000000
01,kokuren,0.000000
01,utvpn,0.000000
01,nature,0.000000
01,imri,0.000000
01,rcus,0.000000
