day,domain,dnsmagnitude
29,cc,9.7650167390836
29,cs,8.508094574989169
29,slis,8.474296214538134
29,u,8.450758138357847
29,sec,8.373996342683991
29,taiiku,8.349841493568423
29,tulips,8.207234826151513
29,sk,8.135051526038383
29,ccs,8.042198995382495
29,www,8.003657421539636
29,ims,7.998477231610173
29,biol,7.932832400436443
29,bk,7.84908949675787
29,hosp,7.819892646664331
29,esys,7.795100763104683
29,s,7.769724014656893
29,iit,7.749153902565158
29,human,7.738002106434109
29,coins,7.734573936562325
29,criced,7.69796503148504
29,trios,7.684253607529568
29,kz,7.677097206709086
29,alumni,7.646359436672717
29,otsuka,7.623595584723757
29,tsa,7.54816426448569
29,geijutsu,7.541007073745033
29,chem,7.483020871294498
29,jinsha,7.46548878257571
29,risk,7.440918527771737
29,px,7.427010051173553
29,cegloc,7.41662990731008
29,math,7.405328340210618
29,envr,7.389015003768139
29,geoenv,7.36553211598393
29,ph,7.308178355008214
29,tara,7.291763735652763
29,stb,7.26760485656251
29,pmrc,7.244683036771706
29,hass,7.208769450899573
29,account,7.1999987084797485
29,manaba,7.196971410829104
29,klis,7.136033409749025
29,high-s,7.135762587298801
29,dpipe,7.134407226570273
29,ied,7.120462287110198
29,sapec,7.111041676159863
29,pas,7.107133170480225
29,life,7.090183482445437
29,un,7.061484316827007
29,global,7.05378976712901
29,shimoda,7.037288273664987
29,prc,7.019854655521843
29,ecloud,7.002384696041762
29,msc,6.99827921033621
29,lawschool,6.997329071176329
29,wpi-iiis,6.973887873679625
29,ap-graduate,6.964728831275022
29,komaba-s,6.944776134780864
29,is,6.938023678357947
29,t-pirc,6.925737464893059
29,twins,6.913974568963543
29,ocw,6.911183885340533
29,sanrenhonbu,6.87988920427684
29,gsbs,6.872984172787118
29,nsfb,6.866392330476787
29,sakado-s,6.841413828457464
29,bres,6.839142056923955
29,kiri-s,6.829612863770125
29,ac,6.825002030323012
29,heritage,6.822301206489216
29,geol,6.816096668389553
29,kdb,6.801974824614647
29,education,6.7912330858788
29,tac,6.714762350624833
29,phd-humanics,6.677310973488108
29,utos,6.666772964590624
29,elementary-s,6.665850639232516
29,lingua,6.661688200516101
29,logos,6.6381989501942815
29,deaf-s,6.579642590595564
29,hokekan,6.563728089863443
29,intersc,6.515828285353194
29,geo,6.508689339692197
29,edu,6.5081377897369554
29,sie,6.478971360685107
29,japan,6.470951267952963
29,histanth,6.453515836334365
29,jinbun,6.417575871610185
29,anzenkanri,6.400289303488146
29,neurosci,6.372421242252911
29,kokusai,6.3653144697515875
29,dac,6.353560280886533
29,osi,6.349607156461627
29,kansei,6.348285502095073
29,informatics,6.345636238468485
29,chs,6.339646145955307
29,scs,6.325509035640051
29,projects,6.32142789902644
29,otsuka-s,6.318696614725077
29,sugadaira,6.313896424978877
29,nourin,6.3063000998675935
29,gfest,6.295834922288175
29,gene,6.29020231496784
29,hibun,6.286663585294497
29,japanese,6.264400842772789
29,oyoriko,6.262216266853331
29,emp,6.230294587244492
29,kurihama,6.219647166841499
29,diversity,6.2010900417906205
29,t-act,6.192452460220883
29,icrhs,6.18929043488351
29,hcs,6.186911456027033
29,ilc,6.184526044592589
29,mast,6.177330864588541
29,coi-sec,6.144622609578412
29,suiri,6.11669439141235
29,rccp,6.102828422280195
29,sse,6.084292185976365
29,tomonaga,6.067178960882331
29,kc,6.059872880825596
29,imis,6.042274524707847
29,cj,6.032869274382647
29,soc-int,6.027177615126423
29,vbl,5.997171071617527
29,skip,5.984277470980865
29,tech,5.962018846745787
29,centers,5.957910787519704
29,jp-ex,5.9475561601425575
29,bpgi,5.934968016129084
29,ri-center,5.912497078292038
29,ccr,5.896088593043052
29,ipp,5.878243147656185
29,shakai,5.853100914008188
29,utvpn,5.835538208089346
29,modernlc,5.796860052128962
29,ut-jinzai-bank,5.793145502958324
29,scpj,5.776865901728904
29,opop,5.767973920226034
29,tias,5.767973920226034
29,chemistry,5.76413546257659
29,tgsw,5.762852256350823
29,souki,5.760280230841904
29,mics,5.75770068477986
29,conservation,5.745998468800575
29,inf,5.743376760705676
29,kiso,5.730150064303427
29,hcph,5.718074077843162
29,butsuri,5.7099305973300005
29,oii,5.673746807628622
29,ide,5.670900985403845
29,are,5.662308020148703
29,oiso,5.652175950004447
29,earth,5.627073888148856
29,f-mirai,5.615009370219498
29,kokuren,5.615009370219498
29,kou-c,5.6073843951407
29,physics,5.6073843951407
29,art,5.58567704736004
29,gip,5.5762078602992675
29,hbp,5.57461973363335
29,fair,5.547174757144191
29,press,5.530622599466846
29,nature,5.5289501740850815
29,trems,5.525595781737031
29,eme,5.52391379052271
29,opera,5.39546525916504
29,materials,5.385673769921087
29,mountain-studies,5.300999776595598
29,riryou,5.256546840752888
29,archives,5.177917945705555
29,atmnb,5.175422317097382
29,sports,5.150069879227336
29,emc,5.110620499611634
29,koudai,5.083305496474714
29,tc,5.055117663335381
29,radd,5.037762268380451
29,cryo,4.998944996418095
29,geosci,4.938950943896307
29,nc-bsys,4.909042855175157
29,rdcpm,4.898843849968299
29,namagaku,4.885059130064851
29,humcul,4.774176468224646
29,qils,4.733886173356374
29,kkss,4.7297540621735985
29,chiiki,4.725602505690124
29,rcus,4.647326196125554
29,ryudou,4.638184102659671
29,ronbun-juri,4.535996797234881
29,13,4.504486157437863
29,flang,4.493727437212966
29,glc-net,4.443620361638942
29,moodle,4.437873083171106
29,person,4.2873465482718585
29,kyoikusuishin,4.266587846400944
29,arena,4.245328887003342
29,e-nihongo,4.245328887003342
29,ttft,4.245328887003342
