network_type,analysis_type,subdomain,count,mean,std,var,min,max,median,q25,q75,start_date,end_date
external,response,cc,25,8.686975,0.245741,0.060389,8.296469,9.129715,8.579066,8.514167,8.917156,2025-04-01,2025-04-30
external,response,manaba,25,7.575631,1.354630,1.835021,4.088883,9.167744,7.687127,6.557651,8.665760,2025-04-01,2025-04-30
external,response,account,25,7.474246,1.130648,1.278366,4.745388,8.973069,7.659227,6.497521,8.269390,2025-04-01,2025-04-30
external,response,twins,25,6.651895,1.006259,1.012558,5.254612,8.242355,6.271765,5.850764,7.637921,2025-04-01,2025-04-30
external,response,www,25,6.228950,1.017162,1.034619,4.245630,7.467449,6.614479,5.669511,7.075547,2025-04-01,2025-04-30
external,response,u,25,6.047674,0.700802,0.491123,4.708427,7.213860,6.400945,5.529071,6.622780,2025-04-01,2025-04-30
external,response,sec,25,5.588781,1.446857,2.093394,0.000000,7.165796,6.013037,5.187684,6.442127,2025-04-01,2025-04-30
external,response,kdb,25,5.150661,1.932203,3.733408,0.000000,7.686700,5.109610,3.455580,6.674783,2025-04-01,2025-04-30
external,response,ecloud,25,4.696953,1.627437,2.648552,0.000000,6.693226,5.014174,3.923102,5.863249,2025-04-01,2025-04-30
external,response,tulips,25,4.640240,0.865325,0.748787,2.663898,5.958392,4.686482,4.229948,5.267540,2025-04-01,2025-04-30
external,response,atmnb,16,4.525309,2.209534,4.882041,0.000000,6.593355,5.366384,3.196382,6.375858,2025-04-01,2025-04-30
external,response,utos,25,4.447321,1.436347,2.063091,1.396673,6.411853,4.429119,3.995847,5.609033,2025-04-01,2025-04-30
external,response,ccs,25,4.414070,1.248428,1.558571,1.376124,6.039903,4.932384,3.923102,5.199234,2025-04-01,2025-04-30
external,response,cs,25,3.690309,1.528782,2.337175,0.000000,5.351030,4.349007,3.092690,4.704207,2025-04-01,2025-04-30
external,response,pas,25,3.687412,1.064121,1.132354,0.000000,4.923609,3.906376,3.200472,4.313611,2025-04-01,2025-04-30
external,response,trios,25,3.519625,1.299493,1.688683,0.000000,5.073333,3.879993,2.742131,4.572373,2025-04-01,2025-04-30
external,response,un,23,3.229965,1.296674,1.681363,0.000000,4.581558,3.678200,2.721622,4.053487,2025-04-01,2025-04-30
external,response,sk,21,3.204467,1.047444,1.097140,0.000000,4.802887,3.370417,2.971071,3.672004,2025-04-01,2025-04-30
external,response,chem,25,3.156157,1.293693,1.673641,0.000000,4.708427,3.540156,2.701113,4.008500,2025-04-01,2025-04-30
external,response,hokekan,20,2.850786,1.973672,3.895382,0.000000,5.304384,3.288056,1.186347,4.448936,2025-04-01,2025-04-30
external,response,iit,25,2.815695,1.102320,1.215110,0.000000,4.362210,3.163998,2.243055,3.650833,2025-04-01,2025-04-30
external,response,ph,25,2.547572,1.043645,1.089195,0.000000,3.976157,2.834755,2.181105,3.200472,2025-04-01,2025-04-30
external,response,md,24,2.516644,1.604939,2.575830,0.000000,4.352162,3.161162,1.403846,3.786800,2025-04-01,2025-04-30
external,response,sapec,21,2.468080,1.300504,1.691310,0.000000,5.020828,2.246491,1.843797,3.623520,2025-04-01,2025-04-30
external,response,cegloc,23,2.402411,1.729469,2.991062,0.000000,5.219777,2.461805,1.132502,3.773400,2025-04-01,2025-04-30
external,response,human,24,2.256541,1.177794,1.387199,0.000000,3.672004,2.700734,1.835614,3.092488,2025-04-01,2025-04-30
external,response,ims,25,2.243883,0.998941,0.997882,0.000000,3.906376,2.286186,1.581796,3.102736,2025-04-01,2025-04-30
external,response,sie,19,2.178989,1.139980,1.299555,0.000000,3.350384,2.654180,1.657329,2.991552,2025-04-01,2025-04-30
external,response,anzenkanri,16,1.885530,1.078235,1.162590,0.000000,4.234349,1.780995,1.125857,2.470645,2025-04-01,2025-04-30
external,response,fair,19,1.881132,0.887232,0.787180,0.000000,3.135882,1.962361,1.451778,2.653186,2025-04-01,2025-04-30
external,response,geijutsu,20,1.802976,1.146596,1.314682,0.000000,3.429280,2.007188,1.175656,2.741630,2025-04-01,2025-04-30
external,response,taiiku,18,1.781540,0.761242,0.579490,0.000000,2.612212,1.931377,1.632472,2.246042,2025-04-01,2025-04-30
external,response,stb,19,1.767333,1.360119,1.849924,0.000000,3.610348,2.250037,0.000000,2.710599,2025-04-01,2025-04-30
external,response,gsbs,18,1.679058,1.031783,1.064577,0.000000,3.408324,1.661996,1.145042,2.516384,2025-04-01,2025-04-30
external,response,esys,20,1.660471,1.400252,1.960706,0.000000,3.905175,1.887061,0.000000,2.936458,2025-04-01,2025-04-30
external,response,otsuka,22,1.582560,1.128492,1.273494,0.000000,3.291049,1.428543,1.061348,2.571160,2025-04-01,2025-04-30
external,response,risk,19,1.544069,1.174757,1.380054,0.000000,4.362210,1.778879,0.562509,2.204695,2025-04-01,2025-04-30
external,response,prc,21,1.464029,0.992905,0.985861,0.000000,3.181836,1.639240,1.055327,2.286186,2025-04-01,2025-04-30
external,response,coins,22,1.451807,1.129136,1.274948,0.000000,3.461044,1.218563,1.077159,2.446061,2025-04-01,2025-04-30
external,response,bk,19,1.426387,1.155574,1.335352,0.000000,3.278480,1.783112,0.000000,2.206341,2025-04-01,2025-04-30
external,response,tara,22,1.348123,0.858333,0.736736,0.000000,2.468786,1.510612,1.056271,2.026746,2025-04-01,2025-04-30
external,response,hass,18,1.323081,1.102929,1.216453,0.000000,2.954853,1.387776,0.000000,2.115811,2025-04-01,2025-04-30
external,response,ap-graduate,20,1.274461,1.273565,1.621967,0.000000,3.195261,1.094133,0.000000,2.678419,2025-04-01,2025-04-30
external,response,math,25,1.269951,0.774854,0.600399,0.000000,2.612212,1.331949,1.055327,1.770078,2025-04-01,2025-04-30
external,response,klis,13,1.250422,0.865895,0.749773,0.000000,2.468786,1.143093,1.041878,1.672654,2025-04-01,2025-04-30
external,response,imis,11,1.221042,1.163715,1.354232,0.000000,4.128372,1.116795,0.520939,1.632712,2025-04-01,2025-04-30
external,response,s,13,1.211647,0.632009,0.399435,0.000000,2.068491,1.149367,1.116795,1.672654,2025-04-01,2025-04-30
