date,network_type,analysis_type,subdomain,magnitude
2025-04-30,internal,response,cc,9.994178
2025-04-30,internal,response,manaba,9.654451
2025-04-30,internal,response,account,9.546426
2025-04-30,internal,response,twins,8.091416
2025-04-30,internal,response,atmnb,8.074209
2025-04-30,internal,response,ecloud,7.927009
2025-04-30,internal,response,u,7.347940
2025-04-30,internal,response,www,7.233895
2025-04-30,internal,response,kdb,6.869706
2025-04-30,internal,response,tulips,6.725585
2025-04-30,internal,response,sec,6.583722
2025-04-30,internal,response,cs,5.160176
2025-04-30,internal,response,trios,5.124968
2025-04-30,internal,response,md,5.051334
2025-04-30,internal,response,cegloc,4.751500
2025-04-30,internal,response,utos,4.539733
2025-04-30,internal,response,un,4.510464
2025-04-30,internal,response,sk,4.170883
2025-04-30,internal,response,ccs,4.089881
2025-04-30,internal,response,gsbs,4.089881
2025-04-30,internal,response,ap-graduate,4.047259
2025-04-30,internal,response,coins,4.047259
2025-04-30,internal,response,esys,4.003087
2025-04-30,internal,response,life,4.003087
2025-04-30,internal,response,stb,4.003087
2025-04-30,internal,response,bk,3.909611
2025-04-30,internal,response,sapec,3.909611
2025-04-30,internal,response,iit,3.860029
2025-04-30,internal,response,fair,3.754346
2025-04-30,internal,response,hokekan,3.697844
2025-04-30,internal,response,otsuka,3.697844
2025-04-30,internal,response,px,3.697844
2025-04-30,internal,response,bres,3.510614
2025-04-30,internal,response,s,3.510614
2025-04-30,internal,response,taiiku,3.441190
2025-04-30,internal,response,anzenkanri,3.367556
2025-04-30,internal,response,biol,3.367556
2025-04-30,internal,response,tsa,3.205370
2025-04-30,internal,response,ac,3.115359
2025-04-30,internal,response,sie,3.115359
2025-04-30,internal,response,informatics,3.018140
2025-04-30,internal,response,butsuri,2.912457
2025-04-30,internal,response,human,2.912457
2025-04-30,internal,response,klis,2.912457
2025-04-30,internal,response,ims,2.796695
2025-04-30,internal,response,ph,2.796695
2025-04-30,internal,response,slis,2.796695
2025-04-30,internal,response,zdk,2.796695
2025-04-30,internal,response,lawschool,2.668725
2025-04-30,internal,response,envr,2.525667
2025-04-30,internal,response,geol,2.363481
2025-04-30,internal,response,oii,2.363481
2025-04-30,internal,response,pas,2.363481
2025-04-30,internal,response,geijutsu,2.176251
2025-04-30,internal,response,hosp,2.176251
2025-04-30,internal,response,kz,2.176251
2025-04-30,internal,response,math,2.176251
2025-04-30,internal,response,risk,2.176251
2025-04-30,internal,response,chem,1.954806
2025-04-30,internal,response,dac,1.954806
2025-04-30,internal,response,geoenv,1.954806
2025-04-30,internal,response,hibun,1.954806
2025-04-30,internal,response,prc,1.954806
2025-04-30,internal,response,scs,1.954806
2025-04-30,internal,response,tara,1.954806
2025-04-30,internal,response,cryo,1.683778
2025-04-30,internal,response,earth,1.683778
2025-04-30,internal,response,edu,1.683778
2025-04-30,internal,response,intersc,1.683778
2025-04-30,internal,response,nc-bsys,1.683778
2025-04-30,internal,response,physics,1.683778
2025-04-30,internal,response,chs,1.334362
2025-04-30,internal,response,education,1.334362
2025-04-30,internal,response,imis,1.334362
2025-04-30,internal,response,lingua,1.334362
2025-04-30,internal,response,modernlc,1.334362
2025-04-30,internal,response,ocw,1.334362
2025-04-30,internal,response,t-pirc,1.334362
2025-04-30,internal,response,are,0.841889
2025-04-30,internal,response,coi-sec,0.841889
2025-04-30,internal,response,flang,0.841889
2025-04-30,internal,response,hass,0.841889
2025-04-30,internal,response,histanth,0.841889
2025-04-30,internal,response,ied,0.841889
2025-04-30,internal,response,japanese,0.841889
2025-04-30,internal,response,jinsha,0.841889
2025-04-30,internal,response,mics,0.841889
2025-04-30,internal,response,neurosci,0.841889
2025-04-30,internal,response,osi,0.841889
2025-04-30,internal,response,oyoriko,0.841889
2025-04-30,internal,response,person,0.841889
2025-04-30,internal,response,projects,0.841889
2025-04-30,internal,response,radd,0.841889
2025-04-30,internal,response,shakai,0.841889
2025-04-30,internal,response,sse,0.841889
2025-04-30,internal,response,t-act,0.841889
2025-04-30,internal,response,tech,0.841889
2025-04-30,internal,response,air,0.000000
2025-04-30,internal,response,bpgi,0.000000
2025-04-30,internal,response,centers,0.000000
2025-04-30,internal,response,elementary-s,0.000000
2025-04-30,internal,response,eme,0.000000
2025-04-30,internal,response,emp,0.000000
2025-04-30,internal,response,hcph,0.000000
2025-04-30,internal,response,ide,0.000000
2025-04-30,internal,response,ipp,0.000000
2025-04-30,internal,response,is,0.000000
2025-04-30,internal,response,kc,0.000000
2025-04-30,internal,response,kokusai,0.000000
2025-04-30,internal,response,logos,0.000000
2025-04-30,internal,response,mountain-studies,0.000000
2025-04-30,internal,response,opop,0.000000
2025-04-30,internal,response,phd-humanics,0.000000
2025-04-30,internal,response,pmrc,0.000000
2025-04-30,internal,response,press,0.000000
2025-04-30,internal,response,sanrenhonbu,0.000000
2025-04-30,internal,response,scpj,0.000000
2025-04-30,internal,response,shimoda,0.000000
2025-04-30,internal,response,tac,0.000000
2025-04-30,internal,response,tems,0.000000
2025-04-30,internal,response,trems,0.000000
2025-04-30,internal,response,wpi-iiis,0.000000
