date,subdomain,qtype,count,ratio
2025-04-01,13,1,359,0.5464
2025-04-01,13,15,12,0.0183
2025-04-01,13,16,16,0.0244
2025-04-01,13,2,44,0.0670
2025-04-01,13,257,1,0.0015
2025-04-01,13,28,199,0.3029
2025-04-01,13,5,15,0.0228
2025-04-01,13,6,11,0.0167
2025-04-01,191,1,21,0.5526
2025-04-01,191,15,2,0.0526
2025-04-01,191,16,1,0.0263
2025-04-01,191,2,7,0.1842
2025-04-01,191,28,4,0.1053
2025-04-01,191,5,1,0.0263
2025-04-01,191,6,2,0.0526
2025-04-01,237,1,165,0.6089
2025-04-01,237,15,9,0.0332
2025-04-01,237,16,4,0.0148
2025-04-01,237,2,13,0.0480
2025-04-01,237,257,1,0.0037
2025-04-01,237,28,72,0.2657
2025-04-01,237,5,4,0.0148
2025-04-01,237,6,3,0.0111
2025-04-01,ac,1,3752,0.5989
2025-04-01,ac,15,7,0.0011
2025-04-01,ac,16,2,0.0003
2025-04-01,ac,2,4,0.0006
2025-04-01,ac,28,1364,0.2177
2025-04-01,ac,5,39,0.0062
2025-04-01,ac,6,3,0.0005
2025-04-01,ac,65,1094,0.1746
2025-04-01,account,1,13748,0.5007
2025-04-01,account,12,4,0.0001
2025-04-01,account,15,50,0.0018
2025-04-01,account,16,26,0.0009
2025-04-01,account,2,763,0.0278
2025-04-01,account,257,2,0.0001
2025-04-01,account,28,7142,0.2601
2025-04-01,account,33,2,0.0001
2025-04-01,account,43,43,0.0016
2025-04-01,account,48,5,0.0002
2025-04-01,account,5,36,0.0013
2025-04-01,account,6,27,0.0010
2025-04-01,account,65,5605,0.2041
2025-04-01,account,99,3,0.0001
2025-04-01,alumni,1,3492,0.1041
2025-04-01,alumni,15,24491,0.7298
2025-04-01,alumni,16,2545,0.0758
2025-04-01,alumni,2,1219,0.0363
2025-04-01,alumni,255,30,0.0009
2025-04-01,alumni,257,1,0.0000
2025-04-01,alumni,28,922,0.0275
2025-04-01,alumni,33,1,0.0000
2025-04-01,alumni,35,1,0.0000
2025-04-01,alumni,43,8,0.0002
2025-04-01,alumni,5,378,0.0113
2025-04-01,alumni,6,132,0.0039
2025-04-01,alumni,65,46,0.0014
2025-04-01,alumni,99,292,0.0087
2025-04-01,anzenkanri,1,1227,0.5081
2025-04-01,anzenkanri,12,3,0.0012
2025-04-01,anzenkanri,15,9,0.0037
2025-04-01,anzenkanri,16,14,0.0058
2025-04-01,anzenkanri,2,56,0.0232
2025-04-01,anzenkanri,257,3,0.0012
2025-04-01,anzenkanri,28,778,0.3222
2025-04-01,anzenkanri,33,3,0.0012
2025-04-01,anzenkanri,48,3,0.0012
2025-04-01,anzenkanri,5,8,0.0033
2025-04-01,anzenkanri,6,13,0.0054
2025-04-01,anzenkanri,65,298,0.1234
2025-04-01,ap-graduate,1,4783,0.6432
2025-04-01,ap-graduate,12,1,0.0001
2025-04-01,ap-graduate,15,20,0.0027
2025-04-01,ap-graduate,16,54,0.0073
2025-04-01,ap-graduate,2,308,0.0414
2025-04-01,ap-graduate,257,2,0.0003
2025-04-01,ap-graduate,28,1414,0.1902
2025-04-01,ap-graduate,48,2,0.0003
2025-04-01,ap-graduate,5,14,0.0019
2025-04-01,ap-graduate,6,49,0.0066
2025-04-01,ap-graduate,65,789,0.1061
2025-04-01,archives,1,618,0.5431
2025-04-01,archives,12,2,0.0018
2025-04-01,archives,15,4,0.0035
2025-04-01,archives,16,4,0.0035
2025-04-01,archives,2,12,0.0105
2025-04-01,archives,257,2,0.0018
2025-04-01,archives,28,397,0.3489
2025-04-01,archives,33,2,0.0018
2025-04-01,archives,35,1,0.0009
2025-04-01,archives,48,2,0.0018
2025-04-01,archives,5,3,0.0026
2025-04-01,archives,6,10,0.0088
2025-04-01,archives,65,81,0.0712
2025-04-01,are,1,258,0.5772
2025-04-01,are,15,2,0.0045
2025-04-01,are,16,1,0.0022
2025-04-01,are,2,45,0.1007
2025-04-01,are,28,94,0.2103
2025-04-01,are,5,2,0.0045
2025-04-01,are,6,10,0.0224
2025-04-01,are,65,34,0.0761
2025-04-01,are,99,1,0.0022
2025-04-01,arena,1,127,0.4262
2025-04-01,arena,15,17,0.0570
2025-04-01,arena,16,22,0.0738
2025-04-01,arena,2,31,0.1040
2025-04-01,arena,28,73,0.2450
2025-04-01,arena,43,1,0.0034
2025-04-01,arena,5,15,0.0503
2025-04-01,arena,6,10,0.0336
2025-04-01,arena,65,2,0.0067
2025-04-01,art,1,762,0.6145
2025-04-01,art,12,2,0.0016
2025-04-01,art,15,5,0.0040
2025-04-01,art,16,4,0.0032
2025-04-01,art,2,32,0.0258
2025-04-01,art,257,2,0.0016
2025-04-01,art,28,359,0.2895
2025-04-01,art,33,2,0.0016
2025-04-01,art,48,2,0.0016
2025-04-01,art,5,5,0.0040
2025-04-01,art,6,14,0.0113
2025-04-01,art,65,50,0.0403
2025-04-01,art,99,1,0.0008
2025-04-01,atmnb,1,932,0.5124
2025-04-01,atmnb,15,4,0.0022
2025-04-01,atmnb,16,2,0.0011
2025-04-01,atmnb,2,2,0.0011
2025-04-01,atmnb,28,848,0.4662
2025-04-01,atmnb,5,1,0.0005
2025-04-01,atmnb,65,30,0.0165
2025-04-01,biol,0,2,0.0000
2025-04-01,biol,1,20713,0.4947
2025-04-01,biol,12,1,0.0000
2025-04-01,biol,13,1,0.0000
2025-04-01,biol,15,2591,0.0619
2025-04-01,biol,16,531,0.0127
2025-04-01,biol,2,1425,0.0340
2025-04-01,biol,255,2,0.0000
2025-04-01,biol,257,1,0.0000
2025-04-01,biol,28,14805,0.3536
2025-04-01,biol,33,9,0.0002
2025-04-01,biol,43,38,0.0009
2025-04-01,biol,48,1,0.0000
2025-04-01,biol,5,87,0.0021
2025-04-01,biol,6,425,0.0101
2025-04-01,biol,65,1235,0.0295
2025-04-01,biol,99,6,0.0001
2025-04-01,bk,0,2,0.0001
2025-04-01,bk,1,15871,0.4820
2025-04-01,bk,12,5,0.0002
2025-04-01,bk,15,3185,0.0967
2025-04-01,bk,16,333,0.0101
2025-04-01,bk,2,908,0.0276
2025-04-01,bk,255,6,0.0002
2025-04-01,bk,257,2,0.0001
2025-04-01,bk,28,10217,0.3103
2025-04-01,bk,33,3,0.0001
2025-04-01,bk,43,213,0.0065
2025-04-01,bk,48,832,0.0253
2025-04-01,bk,5,77,0.0023
2025-04-01,bk,6,48,0.0015
2025-04-01,bk,65,1207,0.0367
2025-04-01,bk,99,18,0.0005
2025-04-01,bpgi,1,1764,0.6495
2025-04-01,bpgi,15,2,0.0007
2025-04-01,bpgi,16,1,0.0004
2025-04-01,bpgi,2,58,0.0214
2025-04-01,bpgi,28,687,0.2529
2025-04-01,bpgi,43,10,0.0037
2025-04-01,bpgi,5,1,0.0004
2025-04-01,bpgi,6,9,0.0033
2025-04-01,bpgi,65,184,0.0677
2025-04-01,bres,1,3913,0.5087
2025-04-01,bres,15,2108,0.2741
2025-04-01,bres,16,10,0.0013
2025-04-01,bres,2,202,0.0263
2025-04-01,bres,28,1103,0.1434
