period,subdomain,qtype,average_ratio,data_points,std_deviation
2025-04-01_to_2025-04-30,13,1,0.546400,1,0.000000
2025-04-01_to_2025-04-30,13,15,0.018300,1,0.000000
2025-04-01_to_2025-04-30,13,16,0.024400,1,0.000000
2025-04-01_to_2025-04-30,13,2,0.067000,1,0.000000
2025-04-01_to_2025-04-30,13,257,0.001500,1,0.000000
2025-04-01_to_2025-04-30,13,28,0.302900,1,0.000000
2025-04-01_to_2025-04-30,13,5,0.022800,1,0.000000
2025-04-01_to_2025-04-30,13,6,0.016700,1,0.000000
2025-04-01_to_2025-04-30,191,1,0.552600,1,0.000000
2025-04-01_to_2025-04-30,191,15,0.052600,1,0.000000
2025-04-01_to_2025-04-30,191,16,0.026300,1,0.000000
2025-04-01_to_2025-04-30,191,2,0.184200,1,0.000000
2025-04-01_to_2025-04-30,191,28,0.105300,1,0.000000
2025-04-01_to_2025-04-30,191,5,0.026300,1,0.000000
2025-04-01_to_2025-04-30,191,6,0.052600,1,0.000000
2025-04-01_to_2025-04-30,237,1,0.608900,1,0.000000
2025-04-01_to_2025-04-30,237,15,0.033200,1,0.000000
2025-04-01_to_2025-04-30,237,16,0.014800,1,0.000000
2025-04-01_to_2025-04-30,237,2,0.048000,1,0.000000
2025-04-01_to_2025-04-30,237,257,0.003700,1,0.000000
2025-04-01_to_2025-04-30,237,28,0.265700,1,0.000000
2025-04-01_to_2025-04-30,237,5,0.014800,1,0.000000
2025-04-01_to_2025-04-30,237,6,0.011100,1,0.000000
2025-04-01_to_2025-04-30,241,1,0.898000,1,0.000000
2025-04-01_to_2025-04-30,241,2,0.061200,1,0.000000
2025-04-01_to_2025-04-30,241,28,0.040800,1,0.000000
2025-04-01_to_2025-04-30,244,1,0.448300,1,0.000000
2025-04-01_to_2025-04-30,244,15,0.034500,1,0.000000
2025-04-01_to_2025-04-30,244,16,0.034500,1,0.000000
2025-04-01_to_2025-04-30,244,2,0.172400,1,0.000000
2025-04-01_to_2025-04-30,244,28,0.206900,1,0.000000
2025-04-01_to_2025-04-30,244,5,0.034500,1,0.000000
2025-04-01_to_2025-04-30,244,6,0.069000,1,0.000000
2025-04-01_to_2025-04-30,ac,1,0.598900,1,0.000000
2025-04-01_to_2025-04-30,ac,15,0.001100,1,0.000000
2025-04-01_to_2025-04-30,ac,16,0.000300,1,0.000000
2025-04-01_to_2025-04-30,ac,2,0.000600,1,0.000000
2025-04-01_to_2025-04-30,ac,28,0.217700,1,0.000000
2025-04-01_to_2025-04-30,ac,5,0.006200,1,0.000000
2025-04-01_to_2025-04-30,ac,6,0.000500,1,0.000000
2025-04-01_to_2025-04-30,ac,65,0.174600,1,0.000000
2025-04-01_to_2025-04-30,account,1,0.500700,1,0.000000
2025-04-01_to_2025-04-30,account,12,0.000100,1,0.000000
2025-04-01_to_2025-04-30,account,15,0.001800,1,0.000000
2025-04-01_to_2025-04-30,account,16,0.000900,1,0.000000
2025-04-01_to_2025-04-30,account,2,0.027800,1,0.000000
2025-04-01_to_2025-04-30,account,257,0.000100,1,0.000000
2025-04-01_to_2025-04-30,account,28,0.260100,1,0.000000
2025-04-01_to_2025-04-30,account,33,0.000100,1,0.000000
2025-04-01_to_2025-04-30,account,43,0.001600,1,0.000000
2025-04-01_to_2025-04-30,account,48,0.000200,1,0.000000
2025-04-01_to_2025-04-30,account,5,0.001300,1,0.000000
2025-04-01_to_2025-04-30,account,6,0.001000,1,0.000000
2025-04-01_to_2025-04-30,account,65,0.204100,1,0.000000
2025-04-01_to_2025-04-30,account,99,0.000100,1,0.000000
2025-04-01_to_2025-04-30,air,43,1.000000,1,0.000000
2025-04-01_to_2025-04-30,alumni,1,0.104100,1,0.000000
2025-04-01_to_2025-04-30,alumni,15,0.729800,1,0.000000
2025-04-01_to_2025-04-30,alumni,16,0.075800,1,0.000000
2025-04-01_to_2025-04-30,alumni,2,0.036300,1,0.000000
2025-04-01_to_2025-04-30,alumni,255,0.000900,1,0.000000
2025-04-01_to_2025-04-30,alumni,257,0.000000,1,0.000000
2025-04-01_to_2025-04-30,alumni,28,0.027500,1,0.000000
2025-04-01_to_2025-04-30,alumni,33,0.000000,1,0.000000
2025-04-01_to_2025-04-30,alumni,35,0.000000,1,0.000000
2025-04-01_to_2025-04-30,alumni,43,0.000200,1,0.000000
2025-04-01_to_2025-04-30,alumni,5,0.011300,1,0.000000
2025-04-01_to_2025-04-30,alumni,6,0.003900,1,0.000000
2025-04-01_to_2025-04-30,alumni,65,0.001400,1,0.000000
2025-04-01_to_2025-04-30,alumni,99,0.008700,1,0.000000
2025-04-01_to_2025-04-30,anpi,1,0.382800,1,0.000000
2025-04-01_to_2025-04-30,anpi,15,0.019100,1,0.000000
2025-04-01_to_2025-04-30,anpi,16,0.014400,1,0.000000
2025-04-01_to_2025-04-30,anpi,2,0.023900,1,0.000000
2025-04-01_to_2025-04-30,anpi,28,0.339700,1,0.000000
2025-04-01_to_2025-04-30,anpi,5,0.009600,1,0.000000
2025-04-01_to_2025-04-30,anpi,6,0.052600,1,0.000000
2025-04-01_to_2025-04-30,anpi,65,0.157900,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,1,0.508100,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,12,0.001200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,15,0.003700,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,16,0.005800,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,2,0.023200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,257,0.001200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,28,0.322200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,33,0.001200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,48,0.001200,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,5,0.003300,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,6,0.005400,1,0.000000
2025-04-01_to_2025-04-30,anzenkanri,65,0.123400,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,1,0.643200,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,12,0.000100,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,15,0.002700,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,16,0.007300,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,2,0.041400,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,257,0.000300,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,28,0.190200,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,48,0.000300,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,5,0.001900,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,6,0.006600,1,0.000000
2025-04-01_to_2025-04-30,ap-graduate,65,0.106100,1,0.000000
2025-04-01_to_2025-04-30,archives,1,0.543100,1,0.000000
2025-04-01_to_2025-04-30,archives,12,0.001800,1,0.000000
2025-04-01_to_2025-04-30,archives,15,0.003500,1,0.000000
2025-04-01_to_2025-04-30,archives,16,0.003500,1,0.000000
2025-04-01_to_2025-04-30,archives,2,0.010500,1,0.000000
2025-04-01_to_2025-04-30,archives,257,0.001800,1,0.000000
2025-04-01_to_2025-04-30,archives,28,0.348900,1,0.000000
2025-04-01_to_2025-04-30,archives,33,0.001800,1,0.000000
2025-04-01_to_2025-04-30,archives,35,0.000900,1,0.000000
2025-04-01_to_2025-04-30,archives,48,0.001800,1,0.000000
2025-04-01_to_2025-04-30,archives,5,0.002600,1,0.000000
2025-04-01_to_2025-04-30,archives,6,0.008800,1,0.000000
2025-04-01_to_2025-04-30,archives,65,0.071200,1,0.000000
2025-04-01_to_2025-04-30,are,1,0.577200,1,0.000000
2025-04-01_to_2025-04-30,are,15,0.004500,1,0.000000
2025-04-01_to_2025-04-30,are,16,0.002200,1,0.000000
2025-04-01_to_2025-04-30,are,2,0.100700,1,0.000000
2025-04-01_to_2025-04-30,are,28,0.210300,1,0.000000
2025-04-01_to_2025-04-30,are,5,0.004500,1,0.000000
2025-04-01_to_2025-04-30,are,6,0.022400,1,0.000000
2025-04-01_to_2025-04-30,are,65,0.076100,1,0.000000
2025-04-01_to_2025-04-30,are,99,0.002200,1,0.000000
2025-04-01_to_2025-04-30,arena,1,0.426200,1,0.000000
2025-04-01_to_2025-04-30,arena,15,0.057000,1,0.000000
2025-04-01_to_2025-04-30,arena,16,0.073800,1,0.000000
2025-04-01_to_2025-04-30,arena,2,0.104000,1,0.000000
2025-04-01_to_2025-04-30,arena,28,0.245000,1,0.000000
2025-04-01_to_2025-04-30,arena,43,0.003400,1,0.000000
2025-04-01_to_2025-04-30,arena,5,0.050300,1,0.000000
2025-04-01_to_2025-04-30,arena,6,0.033600,1,0.000000
2025-04-01_to_2025-04-30,arena,65,0.006700,1,0.000000
2025-04-01_to_2025-04-30,art,1,0.614500,1,0.000000
2025-04-01_to_2025-04-30,art,12,0.001600,1,0.000000
2025-04-01_to_2025-04-30,art,15,0.004000,1,0.000000
2025-04-01_to_2025-04-30,art,16,0.003200,1,0.000000
2025-04-01_to_2025-04-30,art,2,0.025800,1,0.000000
2025-04-01_to_2025-04-30,art,257,0.001600,1,0.000000
2025-04-01_to_2025-04-30,art,28,0.289500,1,0.000000
2025-04-01_to_2025-04-30,art,33,0.001600,1,0.000000
2025-04-01_to_2025-04-30,art,48,0.001600,1,0.000000
2025-04-01_to_2025-04-30,art,5,0.004000,1,0.000000
2025-04-01_to_2025-04-30,art,6,0.011300,1,0.000000
2025-04-01_to_2025-04-30,art,65,0.040300,1,0.000000
2025-04-01_to_2025-04-30,art,99,0.000800,1,0.000000
2025-04-01_to_2025-04-30,atmnb,1,0.512400,1,0.000000
2025-04-01_to_2025-04-30,atmnb,15,0.002200,1,0.000000
2025-04-01_to_2025-04-30,atmnb,16,0.001100,1,0.000000
2025-04-01_to_2025-04-30,atmnb,2,0.001100,1,0.000000
2025-04-01_to_2025-04-30,atmnb,28,0.466200,1,0.000000
2025-04-01_to_2025-04-30,atmnb,5,0.000500,1,0.000000
2025-04-01_to_2025-04-30,atmnb,65,0.016500,1,0.000000
2025-04-01_to_2025-04-30,biol,0,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,1,0.494700,1,0.000000
2025-04-01_to_2025-04-30,biol,12,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,13,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,15,0.061900,1,0.000000
2025-04-01_to_2025-04-30,biol,16,0.012700,1,0.000000
2025-04-01_to_2025-04-30,biol,2,0.034000,1,0.000000
2025-04-01_to_2025-04-30,biol,255,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,257,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,28,0.353600,1,0.000000
2025-04-01_to_2025-04-30,biol,33,0.000200,1,0.000000
2025-04-01_to_2025-04-30,biol,43,0.000900,1,0.000000
2025-04-01_to_2025-04-30,biol,48,0.000000,1,0.000000
2025-04-01_to_2025-04-30,biol,5,0.002100,1,0.000000
2025-04-01_to_2025-04-30,biol,6,0.010100,1,0.000000
2025-04-01_to_2025-04-30,biol,65,0.029500,1,0.000000
2025-04-01_to_2025-04-30,biol,99,0.000100,1,0.000000
2025-04-01_to_2025-04-30,bk,0,0.000100,1,0.000000
2025-04-01_to_2025-04-30,bk,1,0.482000,1,0.000000
2025-04-01_to_2025-04-30,bk,12,0.000200,1,0.000000
2025-04-01_to_2025-04-30,bk,15,0.096700,1,0.000000
2025-04-01_to_2025-04-30,bk,16,0.010100,1,0.000000
2025-04-01_to_2025-04-30,bk,2,0.027600,1,0.000000
2025-04-01_to_2025-04-30,bk,255,0.000200,1,0.000000
2025-04-01_to_2025-04-30,bk,257,0.000100,1,0.000000
2025-04-01_to_2025-04-30,bk,28,0.310300,1,0.000000
2025-04-01_to_2025-04-30,bk,33,0.000100,1,0.000000
2025-04-01_to_2025-04-30,bk,43,0.006500,1,0.000000
2025-04-01_to_2025-04-30,bk,48,0.025300,1,0.000000
2025-04-01_to_2025-04-30,bk,5,0.002300,1,0.000000
2025-04-01_to_2025-04-30,bk,6,0.001500,1,0.000000
2025-04-01_to_2025-04-30,bk,65,0.036700,1,0.000000
2025-04-01_to_2025-04-30,bk,99,0.000500,1,0.000000
2025-04-01_to_2025-04-30,bpgi,1,0.649500,1,0.000000
2025-04-01_to_2025-04-30,bpgi,15,0.000700,1,0.000000
2025-04-01_to_2025-04-30,bpgi,16,0.000400,1,0.000000
2025-04-01_to_2025-04-30,bpgi,2,0.021400,1,0.000000
2025-04-01_to_2025-04-30,bpgi,28,0.252900,1,0.000000
2025-04-01_to_2025-04-30,bpgi,43,0.003700,1,0.000000
2025-04-01_to_2025-04-30,bpgi,5,0.000400,1,0.000000
2025-04-01_to_2025-04-30,bpgi,6,0.003300,1,0.000000
2025-04-01_to_2025-04-30,bpgi,65,0.067700,1,0.000000
2025-04-01_to_2025-04-30,bres,1,0.508700,1,0.000000
2025-04-01_to_2025-04-30,bres,15,0.274100,1,0.000000
2025-04-01_to_2025-04-30,bres,16,0.001300,1,0.000000
2025-04-01_to_2025-04-30,bres,2,0.026300,1,0.000000
2025-04-01_to_2025-04-30,bres,28,0.143400,1,0.000000
2025-04-01_to_2025-04-30,bres,43,0.000300,1,0.000000
2025-04-01_to_2025-04-30,bres,5,0.001400,1,0.000000
2025-04-01_to_2025-04-30,bres,6,0.002000,1,0.000000
2025-04-01_to_2025-04-30,bres,65,0.042300,1,0.000000
2025-04-01_to_2025-04-30,bres,99,0.000400,1,0.000000
2025-04-01_to_2025-04-30,butsuri,1,0.575400,1,0.000000
2025-04-01_to_2025-04-30,butsuri,12,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,15,0.016600,1,0.000000
2025-04-01_to_2025-04-30,butsuri,16,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,2,0.037700,1,0.000000
2025-04-01_to_2025-04-30,butsuri,257,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,28,0.214000,1,0.000000
2025-04-01_to_2025-04-30,butsuri,33,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,48,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,5,0.002200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,6,0.012200,1,0.000000
2025-04-01_to_2025-04-30,butsuri,65,0.130800,1,0.000000
2025-04-01_to_2025-04-30,cc,1,0.599500,1,0.000000
2025-04-01_to_2025-04-30,cc,12,0.000000,1,0.000000
2025-04-01_to_2025-04-30,cc,13,0.000000,1,0.000000
2025-04-01_to_2025-04-30,cc,15,0.006900,1,0.000000
2025-04-01_to_2025-04-30,cc,16,0.007700,1,0.000000
2025-04-01_to_2025-04-30,cc,2,0.030100,1,0.000000
