period,qtype,count,ratio
2025-04-01_to_2025-04-30,0,484,0.000004
2025-04-01_to_2025-04-30,1,71803629,0.553801
2025-04-01_to_2025-04-30,12,4607,0.000036
2025-04-01_to_2025-04-30,"12,1",2,0.000000
2025-04-01_to_2025-04-30,"12,12,12,1",1,0.000000
2025-04-01_to_2025-04-30,"12,12,12,12,12,12,12,12,1",1,0.000000
2025-04-01_to_2025-04-30,"12,12,12,12,12,12,12,12,12,1",1,0.000000
2025-04-01_to_2025-04-30,"12,28",1,0.000000
2025-04-01_to_2025-04-30,13,2392,0.000018
2025-04-01_to_2025-04-30,14,488,0.000004
2025-04-01_to_2025-04-30,15,6820873,0.052607
2025-04-01_to_2025-04-30,16,2228392,0.017187
2025-04-01_to_2025-04-30,2,3444091,0.026563
2025-04-01_to_2025-04-30,25,440,0.000003
2025-04-01_to_2025-04-30,251,282,0.000002
2025-04-01_to_2025-04-30,252,3186,0.000025
2025-04-01_to_2025-04-30,255,202806,0.001564
2025-04-01_to_2025-04-30,256,2,0.000000
2025-04-01_to_2025-04-30,257,141304,0.001090
2025-04-01_to_2025-04-30,27,465,0.000004
2025-04-01_to_2025-04-30,28,38938354,0.300320
2025-04-01_to_2025-04-30,29,1,0.000000
2025-04-01_to_2025-04-30,33,43214,0.000333
2025-04-01_to_2025-04-30,35,632,0.000005
2025-04-01_to_2025-04-30,37,2,0.000000
2025-04-01_to_2025-04-30,38,1989,0.000015
2025-04-01_to_2025-04-30,39,449,0.000003
2025-04-01_to_2025-04-30,43,374615,0.002889
2025-04-01_to_2025-04-30,44,25,0.000000
2025-04-01_to_2025-04-30,46,55,0.000000
2025-04-01_to_2025-04-30,47,8,0.000000
2025-04-01_to_2025-04-30,48,288683,0.002227
2025-04-01_to_2025-04-30,5,513584,0.003961
2025-04-01_to_2025-04-30,50,4,0.000000
2025-04-01_to_2025-04-30,51,5,0.000000
2025-04-01_to_2025-04-30,52,126,0.000001
2025-04-01_to_2025-04-30,53,2,0.000000
2025-04-01_to_2025-04-30,6,328637,0.002535
2025-04-01_to_2025-04-30,64,1681,0.000013
2025-04-01_to_2025-04-30,65,4399945,0.033935
2025-04-01_to_2025-04-30,99,110663,0.000854
